model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,1176,0.4379251700680272,0.4462809738619455,0.4521079897145658,"{'clf__C': 1, 'clf__gamma': 'scale'}",541.32127700001,1.6250819999550004,none,72
SVM,2,911,0.8155872667398463,0.7598461650559297,0.7511912442396314,"{'clf__C': 1, 'clf__gamma': 'scale'}",559.4105691000004,1.5226485001039691,none,72
SVM,3,1029,0.8522837706511176,0.7467091859122517,0.7606829571229549,"{'clf__C': 1, 'clf__gamma': 'scale'}",576.0893366000091,1.8030920000455808,none,72
SVM,4,970,0.6257731958762887,0.611538191324363,0.571394570242405,"{'clf__C': 1, 'clf__gamma': 'scale'}",585.4845173000067,1.5522554999915883,none,72
SVM,5,1210,0.6165289256198347,0.6041937859518076,0.5829561747091653,"{'clf__C': 1, 'clf__gamma': 'scale'}",544.1229328000045,1.5564455000276212,none,72
SVM,6,1008,0.7053571428571429,0.6475390465114065,0.6366061164014137,"{'clf__C': 1, 'clf__gamma': 'scale'}",556.8120749999944,1.562497500126483,none,72
SVM,7,1029,0.6705539358600583,0.6677141044086186,0.6537653101518417,"{'clf__C': 1, 'clf__gamma': 'scale'}",561.4741059999797,1.5859289999934845,none,72
SVM,8,1001,0.7442557442557443,0.6485216765111036,0.6397381661404217,"{'clf__C': 1, 'clf__gamma': 'scale'}",845.7165274000145,3.26541950009414,none,72
SVM,9,1020,0.7215686274509804,0.6906212997876657,0.6815801354056377,"{'clf__C': 1, 'clf__gamma': 'scale'}",1216.4786040999752,3.590292500011856,none,72
SVM,10,898,0.6503340757238307,0.5938332056977925,0.5546617034016572,"{'clf__C': 1, 'clf__gamma': 'scale'}",1228.6583718000038,3.303392499947222,none,72
SVM,11,904,0.7721238938053098,0.7885360119235049,0.7497038127247465,"{'clf__C': 1, 'clf__gamma': 'scale'}",1040.7965501,2.929607499972917,none,72
SVM,12,886,0.7923250564334086,0.7035765014247928,0.710440102199054,"{'clf__C': 1, 'clf__gamma': 'scale'}",1056.769620099978,2.764310500060674,none,72
SVM,13,1285,0.8832684824902723,0.8275302251293106,0.8199103928467053,"{'clf__C': 1, 'clf__gamma': 'scale'}",1070.367321800004,2.900381500076037,none,72
SVM,14,1337,0.7786088257292446,0.6944769446621244,0.6691739205845615,"{'clf__C': 1, 'clf__gamma': 'scale'}",1017.580940200016,2.9578070000570733,none,72
SVM,15,1071,0.8263305322128851,0.7633495356319637,0.731605166293148,"{'clf__C': 1, 'clf__gamma': 'scale'}",2954.211163500004,2.4505639998824336,none,72
SVM,16,1155,0.8372294372294372,0.7777119796001493,0.7590093383760635,"{'clf__C': 1, 'clf__gamma': 'scale'}",1039.406759799982,2.743212500063237,none,72
SVM,17,1213,0.8334707337180544,0.7440982138179315,0.7420100889427466,"{'clf__C': 1, 'clf__gamma': 'scale'}",1040.6332384000125,2.66392999998061,none,72
